name,address,tinNumber,taxClass,code,principal,terms,remark,active
Nicefoods Corp.,"281 Nat'l Brgy Manggahan, Sta. Maria, Bulacan",006-505-408-000,vat,Nicefoods,,30 days,,
Ocampo's Marketing Inc.,"San Agustin, City Of San Fernando Pampanga",003-878-075-000,vat,Ocampo's Mktg,,15 days,,
Ocampo's Metrosales Inc.,"San Agustin, City Of San Fernando, Pampanga",006-990-683-000,vat,Ocampo's Metro, ,30 days,,
Olongapo Wise General Merchandise,"3 Ramos St., West Bajac Bajac, Olongapo City",102-678-928-002  ,vat,Wise,,,,
Optiprime Distribution Corporation,"Limjoco Compound, Greenhills Village, San Agustin, City Of San Fenando, Pampanga",009-376-415-000,vat,Optiprime,jti,14 days,,
OTO Marketing Inc.,"0546 Rancat, Subd Saog, Marilao, Bulacan 3019",008-892-421-000,vat,OTO Alaska,Alaska,15 days,,
PADSA Enterprises," Gloria 1, Mc Arthur Hi Way Sindalan, City Of San Fernando, Pampanga",119-159-330-000,vat,PADSA,Philusa,30 days,,
Penco Inc.  ,"474 Elicano St., Binondo,Metro Manila ",XXX,,Penco,,,,
PMFTC Inc.,"552 Nat'l Highway Matain, Subic",007-515-588-056  ,vat,PMFTC,,10 days,,
Pormerc Enterprises,"180 Avocado Sta. Rita, Olongapo City",229-207-520-000,nonvat,Pormerc,,15 days,,
Pr Gaz,"86 14TH New Kalalake, Olongapo City         ",163-635-248-000,vat,PrGaz,,,,
Prestige Toys & Novelties,"516 Juan Luna St., Brgy. 287 Zone 27, Binondo, Manila",100-761-795-000,vat,PTN,,,,
PRFT Sales Marketing,hold,hold,hold,PRFT,,15 days,,
Prime Global Fld Corp.,"Zone II, Ramar Village, San Agustin, City Of San Fernando, Pampanga",008-405-779-000,vat,Prime Global,Splash,30 days,,
Pros Marketing ,"Cor San Jose & San Andress St., Sto Domingo, Angeles, Pampanga",000-864-633-001,vat,PROS,saba sardines,15 days,,
"Quanta Paper Marketing, Inc.","Ninoy Aquino Hi-Way, Paralayunan, Mabalacat City, Pampanga",007-303-058-000,vat,Quanta,,15 days,,
"Ram Food Products, Inc.","6th Floor, Corporate, 151 Paseo De Roxas, Makati City",000-421-535-000,vat,Ram,,30 days,,
Regent Foods Corporation,"80 Elisco Rd., Bo. Kalawaan Sur., Pasig Metro Manila",000-843-698-000,vat,Regents,regents,15 days,,
Republic Biscuit Corporation,"57 Gen Luis St., Sitio Kapre, Brgy Nagkaisang Nayon Distric, Quezon City",000-366-171-000,vat,ReBisCo,rebisco,15 days,,
Rice Eighty Eight Enterprise  ,"James L Gordon Ave, Market Mall, Pag-Asa, Olongapo City",428-315-926-000,nonvat,Rice88,,,,
"Rich Axxess Distribution, Inc.","41 Canda St., East Bajac-Bajac, Olongapo City",008-932-006-000,vat,RichAxxess,Colgate Palmolive,7 days,,
Right Price Distributors Corporation,"Suburbia North, Maimpis,City Of San Fernando, Pampanga   ",207-079-035-000,vat,RightPrice,Green Cross,7 days,,
RMFM Trading ,"Stall 4, Mc Arthur Hiway, Sto. Domingo 2nd Capas, Tarlac",103-404-263-000,vat,RMFM,Nestle Yoghurt,15 days,,
Rodzon Marketing Corporation,"2451 Lakandula St., A Hidalgo, Pasay City, Manila",000-303-150-00000,vat,Rodzon,mayfair,15 days,,
Royal Duty Free Shop Inc.,"Manila Ave. Cor Canal Road, CBD Area, SBFZ",002-924-412-005,nonvat,RDFSI,,,,
Sal Trading,"625 Carvajal St., Brgy 289 Zone 027,Binondo, Manila",417-260-111-00000,vat,SAL,,,,
San2 Corporation,"Zone 6 Pinmaludpod, Urdaneta, Pangasinan ",445-797-222-000,vat,San2,,,,
"Sanitary Care Products Asia, Inc.","Mawaque Road, Dapdap, Mabalacat Pampanga",004-640-600-023,vat,SCPA,,30 days,,
Sanmegaluck Commercial,"808 Elcano St., Brgy. 271 Zone 25, Tondo, Manila",227-836-009-000,vat,Sanmegaluck,,,,
SCPG Asia-Pacific Inc.,"9008 Labao St., Purok 1, Napindan, Taguig City",008-777-008-00000,vat,SCPG AP McK,,15 days,,
SF Junfel Marketing,"Lot. 6 Bo San Isidro, Bacolor Pampanga",215-847-166-000,vat,SF Junfel,JS unitrade,,,
"SFP Karla's Marketing, Inc.","74 San Isidro, Bacolor, Pampanga",237-672-486-000,vat,SFP Karla,CDO frozen,30 days,,
Silverfox Industrial Corp.,"Unit 1554-C San Marcelino St., 675 Zone 073 Ermita Manila",008-024-833-000,vat,Silverfox,,30 days,,
Six Sigma Corporation,"Victory Compound, Old Cabalan, Olongapo City",004-090-297-004,vat,Six Sigma,SMB,COD,,
"Solid Five Distribution, Inc.","Ccmc Compound Muralla Industrial Park, Iba, Meycauayan, Bulacan",229-906-778-001,vat,Solid Five,,,,
Sun Moon Fruits Inc. (Fruit Dealer),"670 Sto. Cristo St., Brgy.271 Zone 25 Dist, San Nicolas, Manila",008-098-570-000,exempt,Sun Moon,,COD,,
Suncrest Foods Incorporated,"270 Hulo St., Barangay Bignay, Valenzuela City",004-558-518-00000,vat,Suncrest,,,,
Suy Sing Commercial Corporation ,"North Service Rd Pandayan, Meycauayan Bulacan",000-320-806-00003,vat,SSCC,,COD,,
"Sysu International, Inc.","232 Quirino Hi-Way, Baesa, Quezon City",000-286-989-000,vat,Sysu,,30 days,,
Thumbler General Merchandise     ,"819 Juan Luna St., Brgy. 268 Zone, Tondo Manila    ",449-805-360-000,nonvat,Thumbler,,,,
Tindahang Pinoy Commodities Inc.,"674 Padre Herrera St, Brgy 007 Zone 001 Dist, Tondo, Manila",006-533-726-000,vat,TPCI,kopiko,15 days,,
"TJN Pasalubong Foods, Inc.","01 Calumpit Pulilan Road, Paltao, Pulilan, Bulacan",205-175-336-000,vat,TJN,,15 days,,
Ulygold Trading Distributor General Mdse.,"603 Sto.Cristo St., Brgy. 281 Zone 26, Dist 111, San Nicolas, Manila",150-556-261-000,vat,Ulygold,,,,
Unistar Asia Manufacturing Corporation ,"69 Cabral St., Int 3 Brgy Maysan, Valenzeuela City ",008-653-145-000,vat,Unistar,,,,
"Valiant Distribution, Inc."," 86 E. Rodriguez Jr. Avenue, Libis, Quezon City",000-388-805-000,vat,Valiant,,30 days,,
"Value Chain Solutions, Inc.","Frienship Hi-Way, Cutcut, Angeles City 2009",220-121-202-000,vat,VCSI P&G,P&G,15 days,,
"Value Chain Solutions, Inc. (monde)","Lot 71AD, Innovative St. Cor. Honesty St., Subic Gateway Park, SBFZ",220-121-202-007,vat,VCSI Monde,Monde,15 days,,
Victoria Gen. Merchandise ,"113-114 Trades Shopping Center Ilaya St., Brgy 268 Zon 25 Dist 111, Manila",272-358-630-000,vat,Victoria LMC,,,,
